Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,2,2013-01-01,0,0,0,0,a,1
1,3,2013-01-02,5371,670,1,0,0,1
1,4,2013-01-03,4948,543,1,0,0,1
1,5,2013-01-04,5222,532,1,0,0,1
1,6,2013-01-05,4210,414,1,0,0,1
1,7,2013-01-06,0,0,0,0,0,1
1,1,2013-01-07,5918,572,1,0,0,0
1,2,2013-01-08,5878,709,1,0,0,0
1,3,2013-01-09,4652,547,1,0,0,0
1,4,2013-01-10,4869,484,1,0,0,0
1,5,2013-01-11,5506,508,1,0,0,0
1,6,2013-01-12,4333,438,1,0,0,0
1,7,2013-01-13,0,0,0,0,0,0
1,1,2013-01-14,6726,869,1,0,0,0
1,2,2013-01-15,6067,770,1,1,0,0
1,3,2013-01-16,6100,635,1,1,0,0
1,4,2013-01-17,5888,639,1,1,0,0
1,5,2013-01-18,7239,840,1,1,0,0
1,6,2013-01-19,5323,557,1,1,0,0
1,7,2013-01-20,0,0,0,0,0,0
1,1,2013-01-21,7602,741,1,1,0,0
1,2,2013-01-22,5881,612,1,1,0,0
1,3,2013-01-23,6399,610,1,1,0,0
1,4,2013-01-24,6131,645,1,1,0,0
1,5,2013-01-25,6876,731,1,1,0,0
1,6,2013-01-26,5678,549,1,1,0,0
1,7,2013-01-27,0,0,0,0,0,0
1,1,2013-01-28,7242,616,1,1,0,0
1,2,2013-01-29,5811,593,1,0,0,0
1,3,2013-01-30,5283,539,1,0,0,0
1,4,2013-01-31,5197,524,1,0,0,0
1,5,2013-02-01,6228,566,1,0,0,0
1,6,2013-02-02,4952,489,1,0,0,0
1,7,2013-02-03,0,0,0,0,0,0
1,1,2013-02-04,6956,655,1,0,0,0
1,2,2013-02-05,5994,650,1,0,0,0
1,3,2013-02-06,5310,554,1,0,0,0
1,4,2013-02-07,5857,691,1,0,0,0
1,5,2013-02-08,5708,575,1,0,0,0
1,6,2013-02-09,5126,571,1,0,0,0
1,7,2013-02-10,0,0,0,0,0,0
1,1,2013-02-11,6563,708,1,0,0,0
1,2,2013-02-12,6154,557,1,1,0,0
1,3,2013-02-13,6015,543,1,1,0,0
1,4,2013-02-14,6359,667,1,1,0,0
1,5,2013-02-15,7780,815,1,1,0,0
1,6,2013-02-16,6102,663,1,1,0,0
1,7,2013-02-17,0,0,0,0,0,0
1,1,2013-02-18,7506,813,1,1,0,0
1,2,2013-02-19,0,0,0,1,0,0
1,3,2013-02-20,6840,665,1,1,0,0
1,4,2013-02-21,7114,784,1,1,0,0
1,5,2013-02-22,7101,750,1,1,0,0
1,6,2013-02-23,6026,732,1,1,0,0
1,7,2013-02-24,0,0,0,0,0,0
1,1,2013-02-25,7255,656,1,1,0,0
1,2,2013-02-26,6840,679,1,0,0,0
1,3,2013-02-27,6276,588,1,0,0,0
1,4,2013-02-28,6110,692,1,0,0,0
1,5,2013-03-01,6358,656,1,0,0,0
1,6,2013-03-02,4748,543,1,0,0,0
1,7,2013-03-03,0,0,0,0,0,0
1,1,2013-03-04,7157,707,1,0,0,0
1,2,2013-03-05,6393,667,1,0,0,0
1,3,2013-03-06,5196,621,1,0,0,0
1,4,2013-03-07,6184,732,1,0,0,0
1,5,2013-03-08,7138,850,1,0,0,0
1,6,2013-03-09,5250,531,1,0,0,0
1,7,2013-03-10,0,0,0,0,0,0
1,1,2013-03-11,8098,765,1,0,0,0
1,2,2013-03-12,7564,947,1,1,0,0
1,3,2013-03-13,6623,623,1,1,0,0
1,4,2013-03-14,6764,660,1,1,0,0
1,5,2013-03-15,8415,1018,1,1,0,0
1,6,2013-03-16,5615,607,1,1,0,0
1,7,2013-03-17,0,0,0,0,0,0
1,1,2013-03-18,8591,864,1,1,0,0
1,2,2013-03-19,7175,849,1,1,0,0
1,3,2013-03-20,6946,695,1,1,0,0
1,4,2013-03-21,6892,885,1,1,0,0
1,5,2013-03-22,7695,825,1,1,0,0
1,6,2013-03-23,5335,512,1,1,0,0
1,7,2013-03-24,0,0,0,0,0,0
1,1,2013-03-25,8609,946,1,1,0,0
1,2,2013-03-26,6093,597,1,0,0,0
1,3,2013-03-27,6507,633,1,0,0,0
1,4,2013-03-28,6381,605,1,0,0,0
1,5,2013-03-29,6504,638,1,0,0,0
1,6,2013-03-30,5262,508,1,0,0,0
1,7,2013-03-31,0,0,0,0,0,0
1,1,2013-04-01,0,0,0,0,b,0
1,2,2013-04-02,6963,727,1,0,0,0
1,3,2013-04-03,7112,764,1,0,0,0
1,4,2013-04-04,5688,667,1,0,0,0
1,5,2013-04-05,7071,809,1,0,0,0
1,6,2013-04-06,4946,533,1,0,0,0
1,7,2013-04-07,0,0,0,0,0,0
1,1,2013-04-08,7707,723,1,0,0,0
1,2,2013-04-09,6566,694,1,1,0,0
1,3,2013-04-10,7352,714,1,1,0,0
1,4,2013-04-11,7024,678,1,1,0,0
1,5,2013-04-12,7238,777,1,1,0,0
1,6,2013-04-13,6897,691,1,1,0,0
1,7,2013-04-14,0,0,0,0,0,0
1,1,2013-04-15,9490,899,1,1,0,0
1,2,2013-04-16,8007,800,1,1,0,0
1,3,2013-04-17,7355,860,1,1,0,0
1,4,2013-04-18,8270,859,1,1,0,0
1,5,2013-04-19,8285,766,1,1,0,0
1,6,2013-04-20,6559,701,1,1,0,0
1,7,2013-04-21,0,0,0,0,0,0
1,1,2013-04-22,8334,839,1,1,0,0
1,2,2013-04-23,6775,781,1,0,0,0
1,3,2013-04-24,5624,568,1,0,0,0
1,4,2013-04-25,6666,795,1,0,0,0
1,5,2013-04-26,8495,944,1,0,0,0
1,6,2013-04-27,5734,553,1,0,0,0
1,7,2013-04-28,0,0,0,0,0,0
1,1,2013-04-29,7961,860,1,0,0,0
1,2,2013-04-30,7138,724,1,0,0,0
1,3,2013-05-01,0,0,0,0,a,0
1,4,2013-05-02,6084,640,1,0,0,0
1,5,2013-05-03,6993,698,1,0,0,0
1,6,2013-05-04,6016,675,1,0,0,0
1,7,2013-05-05,0,0,0,0,0,0
1,1,2013-05-06,7501,811,1,0,0,0
1,2,2013-05-07,8717,1059,1,1,0,0
1,3,2013-05-08,7353,839,1,1,0,0
1,4,2013-05-09,7834,728,1,1,0,0
1,5,2013-05-10,8631,880,1,1,0,0
1,6,2013-05-11,6643,787,1,1,0,0
1,7,2013-05-12,0,0,0,0,0,0
1,1,2013-05-13,10294,1094,1,1,0,0
1,2,2013-05-14,8170,760,1,1,0,0
1,3,2013-05-15,7747,829,1,1,0,0
1,4,2013-05-16,7342,696,1,1,0,0
1,5,2013-05-17,10027,1025,1,1,0,0
1,6,2013-05-18,6251,633,1,1,0,0
1,7,2013-05-19,0,0,0,0,0,0
1,1,2013-05-20,8175,798,1,1,0,0
1,2,2013-05-21,7117,771,1,0,0,0
1,3,2013-05-22,7367,723,1,0,0,0
1,4,2013-05-23,7101,802,1,0,0,0
